/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.6/cv2/conv/Conv,/model.7/conv/Conv,output0
0,1,1,1,1,0,0,0,0,0,0,0,0.0008687303634360433
0,0,1,0,0,0,0,1,0,0,1,1,0.0011267459485679865
0,0,1,1,1,0,0,1,0,0,1,0,0.001130224671214819
1,0,1,0,1,0,1,0,1,0,0,0,0.004298462066799402
0,1,0,0,0,0,0,0,1,0,0,1,0.0008112728828564286
1,0,1,0,1,1,0,0,1,1,1,0,0.004334424622356892
0,1,1,1,0,1,1,0,1,1,1,0,0.0011504081776365638
1,0,1,0,0,1,0,1,1,1,1,0,0.004364538937807083
1,1,1,0,0,0,1,0,1,0,1,1,0.004317828919738531
1,0,0,0,0,0,1,1,1,0,1,1,0.0043157609179615974
0,1,0,0,0,1,0,1,1,1,0,0,0.0009850981878116727
0,1,0,1,0,0,0,1,1,0,0,1,0.0010284808231517673
1,1,1,0,0,1,0,1,0,0,0,1,0.004314254969358444
0,1,0,1,1,1,0,1,1,0,1,1,0.0012525331694632769
0,1,0,0,0,0,0,0,1,0,0,0,0.0007848236709833145
1,1,1,1,0,0,1,0,1,1,0,0,0.004344584420323372
0,1,1,1,1,1,0,1,0,1,1,1,0.001243195729330182
1,1,1,0,1,1,0,1,0,1,1,0,0.004340174607932568
0,1,1,1,1,0,0,0,0,1,1,0,0.0011287133675068617
1,0,1,0,1,0,0,0,0,0,1,0,0.004313059616833925
0,0,0,1,1,0,0,1,1,0,1,0,0.0010610923636704683
1,1,0,0,0,0,0,1,1,1,0,0,0.00437575951218605
0,0,1,1,0,1,0,0,0,1,1,0,0.0009392128558829427
0,0,0,1,1,1,0,1,0,0,1,1,0.0011108354665338993
1,0,1,0,1,1,1,1,1,1,0,0,0.00431754719465971
0,1,1,1,1,0,0,1,1,0,1,1,0.0012900868896394968
0,1,0,0,1,1,0,1,0,1,0,0,0.0009210159187205136
0,1,0,0,1,1,1,1,1,1,1,0,0.0013142896350473166
1,1,1,1,1,0,1,0,1,1,0,0,0.00434643030166626
0,1,0,1,1,0,0,1,0,1,0,0,0.000978771597146988
0,1,1,1,1,0,1,0,1,0,0,1,0.001175286015495658
1,1,0,0,1,1,0,0,0,1,1,0,0.004333731718361378
1,0,1,1,0,0,1,1,1,0,1,1,0.004348719958215952
0,1,1,1,1,0,1,0,0,1,1,1,0.0012569823302328587
1,0,0,1,0,1,1,1,0,0,0,0,0.004327214788645506
0,1,0,0,1,0,0,0,1,0,0,1,0.0009674934553913772
0,1,1,1,1,0,0,1,0,0,0,1,0.0010348893702030182
0,1,1,1,1,1,0,1,0,1,1,0,0.0012134056305512786
0,1,1,1,0,0,1,1,0,1,0,1,0.00107761868275702
0,1,1,1,0,0,1,1,0,1,1,1,0.001278415904380381
1,0,1,0,0,1,0,0,1,1,0,1,0.00428434694185853
0,1,1,0,1,0,1,1,1,0,1,0,0.0013431392144411802
1,1,0,0,1,1,0,1,0,1,0,1,0.004306773655116558
0,1,0,0,1,0,0,0,1,1,1,1,0.0011341405333951116
1,0,1,1,0,0,0,0,1,1,0,1,0.004307197872549295
1,1,0,1,0,1,1,0,0,1,1,1,0.004329273477196693
1,1,0,0,1,0,1,1,0,0,1,0,0.004307839088141918
0,0,1,1,0,1,1,1,1,1,0,1,0.0010149616282433271
0,1,1,1,1,0,0,0,1,1,0,0,0.0010805688798427582
0,0,1,1,1,1,1,1,1,1,1,0,0.0012363018468022346
1,1,0,0,0,0,0,1,1,0,1,0,0.0043866937048733234
0,0,1,0,1,0,1,0,1,0,1,1,0.0011725288350135088
0,1,1,0,0,1,1,0,0,0,0,1,0.0008916993392631412
1,1,1,0,1,1,1,0,0,0,1,0,0.0043060919269919395
1,1,1,0,1,1,1,0,0,1,0,0,0.004301668144762516
0,1,0,0,1,1,0,0,1,0,1,1,0.0011282616760581732
1,0,1,1,0,1,0,0,1,0,1,0,0.004357289522886276
0,0,0,1,0,0,1,1,0,0,0,0,0.0007630048785358667
0,0,0,1,0,0,0,0,0,0,0,0,0.00019488620455376804
0,0,1,1,0,0,1,0,1,0,1,0,0.0010346334893256426
0,0,0,1,1,0,0,1,1,0,0,1,0.0008644937770441175
1,1,1,0,1,0,0,1,1,0,1,1,0.004320204723626375
1,1,1,0,0,0,1,0,0,1,1,0,0.0043314797803759575
1,0,1,1,1,0,1,0,1,0,0,0,0.004320804495364428
1,0,1,1,0,1,0,0,0,0,0,0,0.004339381121098995
1,0,1,1,1,1,1,0,1,0,1,0,0.004338820464909077
0,0,0,1,1,0,0,0,1,0,1,1,0.0010074782185256481
