block_0,block_1,block_2,block_3,block_4,block_5,block_6,block_7,block_8,block_9,block_10,block_11,map50,map50_95,map75
1,0,1,0,1,0,0,0,1,0,1,1,0.4011208991012583,0.3358218773528985,0.36907286126330596
0,0,0,0,1,1,1,1,1,1,1,0,0.41726185658407466,0.33570226538795533,0.3749977359407587
1,0,1,1,0,1,0,0,1,0,1,1,0.4015129230709577,0.33623862282122696,0.3770280186142597
1,1,1,0,1,1,0,0,1,0,1,1,0.38971646281512995,0.32820317220956985,0.3658610988226523
1,0,0,0,0,0,1,1,1,0,1,0,0.4056574417225993,0.33194241074986663,0.36160959284722566
0,1,1,1,1,0,0,1,0,0,0,1,0.41240229511107296,0.3427865932740309,0.38377236398888387
0,1,0,0,1,0,0,1,1,1,0,1,0.4037883736068464,0.3372248357736925,0.3677070373050265
0,1,1,0,1,0,0,0,0,0,0,1,0.4113440918658945,0.3437231029436641,0.3835766306654071
1,0,0,1,1,1,0,1,1,1,1,0,0.3990084570944266,0.328331934934945,0.3658345713519634
0,1,0,1,1,0,0,1,0,0,0,1,0.4129124934487305,0.34379816259509,0.379777227638657
1,0,0,1,1,0,1,0,0,0,1,0,0.4090477456434491,0.3377890901925335,0.3805846992058433
0,0,0,0,1,1,1,1,1,1,0,0,0.40782149465575424,0.329108769006404,0.36775180994337997
0,0,0,1,1,0,1,0,0,1,1,1,0.42483184745148134,0.34746005432148064,0.38694298413298067
1,0,1,1,1,1,0,1,0,0,0,0,0.394814314788533,0.3309571518016051,0.37292936936774695
0,1,1,0,0,1,1,0,0,1,0,0,0.4154334321444411,0.3370500165243666,0.37377567993422434
1,0,0,0,1,1,0,0,1,1,1,0,0.3903878442747005,0.32201657645362936,0.36085971895235514
1,0,1,0,0,1,0,1,1,0,1,1,0.39815621562803577,0.33425111937066954,0.3607247831502969
1,1,1,1,0,1,1,0,0,1,1,1,0.4138943702372054,0.3431520595315506,0.3717176984993643
0,1,1,0,0,0,1,0,1,0,1,1,0.41472862000045485,0.3408252542243464,0.37054743965979303
0,1,0,1,1,1,0,0,0,1,0,0,0.39517372613357143,0.32648882638473187,0.36454664839321627
1,0,1,1,0,0,1,1,1,1,1,0,0.4162648459022842,0.3439383559194138,0.36979234769640545
1,0,0,1,0,1,1,1,0,0,0,1,0.4106496149522185,0.34086146564469794,0.38085587511936186
1,1,0,1,1,1,1,1,1,0,1,1,0.4052804884434713,0.3354135931256445,0.35951727681633816
1,1,1,0,1,0,0,0,0,1,1,0,0.3952169823029399,0.3293858394967635,0.3682910505312932
1,1,1,0,0,1,1,1,1,0,1,0,0.3983926090232049,0.3301746373552691,0.35824844808437006
0,0,0,0,0,0,1,0,0,0,1,0,0.40974035975721507,0.3344209110989108,0.37545637670174087
1,1,0,0,1,0,0,1,1,0,0,0,0.395249480886042,0.3284795036912568,0.3665686197052529
1,0,0,0,1,1,1,0,1,1,0,1,0.40946040339545564,0.3392355276213097,0.36941018812485626
0,0,0,0,0,0,1,1,0,0,0,1,0.41852031182417954,0.34072699254017,0.3761292039447435
0,1,0,0,1,0,1,1,1,0,0,1,0.4128324561467112,0.33880049404693563,0.3753894815266904
1,1,0,0,0,0,0,0,1,0,1,1,0.4107618859626984,0.33840855728521235,0.3673301400590503
0,0,0,1,1,1,1,1,1,0,0,0,0.40914664271168477,0.33581157170919007,0.37666643953698775
1,0,1,1,0,0,1,1,0,1,0,1,0.4182790456120466,0.34563512609942576,0.3729375073188615
1,1,1,1,1,1,1,1,0,1,0,0,0.39944201592781825,0.3352532660285598,0.37389786201458963
0,0,0,1,0,0,0,0,0,1,0,1,0.4195096186635191,0.3419578881773159,0.3829440244140835
1,0,1,1,0,0,1,1,1,1,1,1,0.421104527954127,0.3484584404933423,0.3751681109652225
1,1,0,0,1,1,1,1,1,0,1,1,0.4048143973468745,0.33417278748796936,0.36562392297375523
0,1,0,0,1,0,1,0,0,0,0,1,0.4065431318499068,0.3348870015554242,0.3763153726477485
1,0,0,0,0,0,0,0,1,1,1,0,0.39607931161752413,0.3260006664104306,0.3651896769462423
1,1,1,1,0,0,0,1,0,1,0,0,0.39515212599367705,0.32905739298588044,0.36636082003517834
1,1,1,1,0,0,1,0,0,1,0,0,0.40429651343217093,0.33334486900528637,0.3682054914047652
1,0,1,0,0,0,1,1,0,0,0,0,0.3999708555620662,0.33054322555649274,0.37068121257676795
1,0,1,0,0,0,1,1,1,0,0,0,0.40436295007135353,0.33084646694358105,0.37127387559222863
1,0,1,0,0,0,0,0,0,1,0,1,0.406031875243421,0.33892721753755567,0.37611591371748276
0,0,1,0,1,0,1,1,0,0,1,0,0.41511201445474,0.33697782529773745,0.3659577544702939
0,1,1,1,1,1,1,1,0,0,0,1,0.41588689381913935,0.34539843299393225,0.3825260902032558
