/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0,output1
0,0,1,1,0,1,1,1,1,0,0,1,52.8997917175293,0.6251049041748047
0,0,1,0,1,0,1,1,1,0,0,0,22.542430877685547,0.5996927618980408
0,0,0,0,1,1,0,0,0,1,0,0,142.58602905273438,0.6061424016952515
1,0,1,1,0,1,1,1,1,1,0,1,293.87139892578125,1.6653766632080078
0,1,0,1,0,0,1,1,1,0,1,1,99.71979522705078,0.8228610754013062
0,1,0,0,1,0,0,0,0,1,0,1,129.07785034179688,0.722675621509552
0,1,1,1,0,0,1,1,1,1,1,0,159.40904235839844,0.9898460507392883
1,0,0,1,0,1,0,0,0,1,0,1,293.87139892578125,1.5813251733779907
0,1,0,0,1,0,1,0,1,0,1,0,102.972900390625,0.7257806062698364
1,1,0,1,1,0,0,0,0,0,1,1,285.44305419921875,1.6450793743133545
0,0,1,1,1,1,0,1,0,1,0,1,126.92036437988281,0.6556318998336792
0,0,0,1,1,0,1,1,1,0,0,1,53.27338790893555,0.6251049041748047
0,0,0,0,1,0,1,0,0,0,0,1,53.27338790893555,0.48290348052978516
0,0,1,0,0,1,0,0,0,0,0,0,13.5691499710083,0.0
1,1,1,1,1,0,1,1,1,1,0,0,293.94561767578125,1.7130237817764282
1,0,1,0,1,1,0,1,0,1,0,1,293.9713134765625,1.631521224975586
0,1,1,1,1,1,1,0,0,0,0,0,43.13462829589844,0.6320361495018005
0,1,0,0,1,0,1,1,0,0,0,0,42.96941375732422,0.7238761782646179
1,1,0,0,0,0,1,0,0,1,1,1,287.4425964355469,1.650936484336853
1,1,0,1,0,0,1,1,0,0,1,0,285.88128662109375,1.7171876430511475
1,0,0,0,0,0,1,1,1,1,1,1,285.3498840332031,1.7117846012115479
1,0,1,1,0,1,0,0,1,1,0,1,293.87139892578125,1.600624442100525
1,0,0,1,1,1,0,1,0,1,0,1,293.9713134765625,1.631521224975586
0,1,1,0,1,0,0,0,1,1,0,1,129.07785034179688,0.7546719908714294
0,0,0,1,1,1,0,0,1,1,0,0,142.58602905273438,0.6472485661506653
1,0,0,1,0,0,0,1,1,1,0,0,292.2275390625,1.6556527614593506
0,1,0,1,1,1,0,0,0,1,1,1,152.78359985351562,0.854692280292511
0,1,1,0,1,1,0,1,1,1,0,0,141.92190551757812,0.8441146612167358
1,1,0,0,0,1,0,1,1,1,0,0,294.243408203125,1.7167848348617554
0,1,0,0,1,1,1,1,1,0,1,1,99.82195281982422,0.8228610754013062
0,1,0,1,0,1,1,0,0,0,0,0,40.95368194580078,0.6320361495018005
0,1,1,1,0,0,0,0,1,1,1,0,159.40904235839844,0.8117345571517944
1,0,0,0,1,0,1,1,1,0,0,0,283.9037170410156,1.6231319904327393
