/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0,output1
1,0,0,0,0,0,0,0,0,0,0,1,33.64512252807617,17.365947723388672
1,1,0,1,0,0,0,1,1,0,1,0,32.883567810058594,15.8798246383667
1,0,0,0,0,0,0,0,1,0,0,1,33.64512252807617,17.165246963500977
1,0,1,0,0,1,1,0,1,0,0,1,33.18587112426758,16.242517471313477
1,1,0,1,0,1,1,1,1,0,1,0,32.85874557495117,15.091702461242676
1,1,1,0,1,0,1,0,0,0,1,0,32.61522674560547,15.52087116241455
1,1,0,0,1,0,0,1,1,0,0,1,33.02406692504883,16.005369186401367
0,0,1,1,0,0,1,1,0,1,0,1,39.36064910888672,20.681011199951172
0,1,0,1,0,0,1,0,0,0,0,1,42.62751770019531,21.939998626708984
1,1,1,0,1,1,1,1,0,1,1,0,32.320064544677734,15.155324935913086
1,1,0,0,0,1,1,1,1,1,1,0,32.729026794433594,15.096742630004883
1,1,0,0,0,1,1,1,1,1,1,1,32.72096633911133,15.090978622436523
0,1,0,1,1,1,1,0,1,0,0,0,42.11719512939453,21.815221786499023
1,1,1,0,0,0,0,0,0,1,0,0,32.050018310546875,16.118671417236328
0,1,1,0,1,1,0,1,0,1,1,1,36.873390197753906,20.445741653442383
0,0,1,1,0,1,1,1,1,0,0,1,44.74241256713867,22.627185821533203
0,0,1,0,1,0,1,1,1,0,0,0,46.34347152709961,22.84619140625
0,0,0,0,1,1,0,0,0,1,0,0,40.61827087402344,25.925067901611328
1,0,1,1,0,1,1,1,1,1,0,1,32.14189910888672,15.478726387023926
0,1,0,1,0,0,1,1,1,0,1,1,41.32603454589844,20.02932357788086
0,1,0,0,1,0,0,0,0,1,0,1,38.52277374267578,22.481491088867188
0,1,1,1,0,0,1,1,1,1,1,0,37.06195068359375,18.62752914428711
1,0,0,1,0,1,0,0,0,1,0,1,32.51133346557617,16.8270263671875
0,1,0,0,1,0,1,0,1,0,1,0,41.41034698486328,21.07198715209961
1,1,0,1,1,0,0,0,0,0,1,1,32.81549835205078,16.433313369750977
0,0,1,1,1,1,0,1,0,1,0,1,38.77758026123047,23.204254150390625
0,0,0,1,1,0,1,1,1,0,0,1,46.81081008911133,22.627185821533203
0,0,0,0,1,0,1,0,0,0,0,1,50.142520904541016,24.986087799072266
0,0,1,0,0,1,0,0,0,0,0,0,48.262367248535156,175.6394500732422
1,1,1,1,1,0,1,1,1,1,0,0,31.805150985717773,14.87732982635498
1,0,1,0,1,1,0,1,0,1,0,1,32.25555419921875,16.34101104736328
0,1,1,1,1,1,1,0,0,0,0,0,40.84113311767578,22.115604400634766
0,1,0,0,1,0,1,1,0,0,0,0,42.932838439941406,20.868595123291016
1,1,0,0,0,0,1,0,0,1,1,1,32.74201202392578,15.513460159301758
1,1,0,1,0,0,1,1,0,0,1,0,32.883567810058594,15.150815963745117
1,0,0,0,0,0,1,1,1,1,1,1,33.15363311767578,15.68885612487793
1,0,1,1,0,1,0,0,1,1,0,1,32.14189910888672,16.65894889831543
1,0,0,1,1,1,0,1,0,1,0,1,32.42782974243164,16.34101104736328
0,1,1,0,1,0,0,0,1,1,0,1,37.675846099853516,22.03427505493164
0,0,0,1,1,1,0,0,1,1,0,0,39.829593658447266,24.8214168548584
1,0,0,1,0,0,0,1,1,1,0,0,32.585086822509766,16.21712875366211
0,1,0,1,1,1,0,0,0,1,1,1,37.26035690307617,21.607662200927734
0,1,1,0,1,1,0,1,1,1,0,0,37.5458984375,20.81077003479004
1,1,0,0,0,1,0,1,1,1,0,0,32.341609954833984,15.5986967086792
0,1,0,0,1,1,1,1,1,0,1,1,41.02941131591797,20.02932357788086
0,1,0,1,0,1,1,0,0,0,0,0,43.01581954956055,22.115604400634766
0,1,1,1,0,0,0,0,1,1,1,0,37.06195068359375,21.35561752319336
1,0,0,0,1,0,1,1,1,0,0,0,33.548683166503906,15.835347175598145
1,0,0,1,0,0,0,0,1,0,1,1,33.31668472290039,16.980003356933594
0,1,1,1,0,1,1,0,0,0,1,1,40.18640899658203,21.245159149169922
1,0,1,0,0,0,1,0,1,0,1,0,33.07969665527344,16.089122772216797
1,1,0,0,1,0,0,1,0,1,1,0,32.65668869018555,15.946619987487793
1,0,0,0,0,0,0,1,1,1,0,1,32.72681427001953,16.212265014648438
0,1,0,1,0,0,1,0,0,1,1,1,37.63573455810547,19.466915130615234
0,0,0,1,0,1,0,0,0,1,1,0,39.162818908691406,24.350337982177734
0,1,1,0,1,0,1,1,1,1,0,1,37.675846099853516,19.038850784301758
0,0,0,0,0,0,1,0,1,0,0,1,53.19728469848633,24.36666488647461
1,1,1,0,1,1,1,1,1,0,0,0,32.67355728149414,15.203054428100586
1,0,0,0,1,1,1,0,1,1,0,0,32.67493438720703,15.85875415802002
0,1,1,1,0,0,1,1,1,1,0,0,37.730289459228516,19.027347564697266
0,0,1,1,1,1,0,0,0,0,1,0,41.7884635925293,30.582271575927734
0,1,0,0,0,0,1,1,1,0,0,0,43.927467346191406,20.67342758178711
0,1,0,1,0,0,1,0,0,1,1,0,37.7494010925293,19.543235778808594
0,0,1,0,0,1,0,0,0,0,1,0,43.38856887817383,30.582271575927734
1,0,0,1,1,0,0,1,1,0,0,0,33.33881759643555,16.681785583496094
1,0,0,0,0,1,1,1,0,1,1,0,33.14289474487305,15.773088455200195
0,1,0,1,0,0,0,0,1,1,1,1,37.63573455810547,21.238548278808594
0,0,1,0,1,1,1,1,1,0,1,0,42.536373138427734,21.85464859008789
1,0,1,0,1,1,1,0,0,1,0,1,32.25555419921875,15.956666946411133
0,0,1,0,1,0,0,0,1,0,1,1,42.588932037353516,28.01603126525879
0,1,1,0,1,1,0,1,1,0,0,0,41.236549377441406,23.149913787841797
1,1,1,0,0,1,1,1,0,0,1,0,32.69652557373047,15.150815963745117
1,0,0,1,1,0,1,1,1,0,1,1,33.21484375,15.709141731262207
1,1,1,0,0,1,1,0,0,1,0,1,31.980127334594727,15.292739868164062
1,1,0,1,0,0,0,0,0,0,1,1,32.91768264770508,16.433313369750977
0,0,1,1,1,1,0,1,1,1,0,1,38.77758026123047,22.728103637695312
1,1,1,0,0,0,0,1,1,0,1,0,32.72072219848633,15.8798246383667
1,0,0,0,0,0,1,1,1,1,0,1,32.72681427001953,15.478726387023926
1,0,0,0,0,1,0,1,0,1,1,0,33.14289474487305,16.575721740722656
0,0,0,1,0,0,0,1,1,0,0,1,48.75429153442383,26.227209091186523
1,0,1,1,1,1,1,1,0,1,1,0,32.46931457519531,15.773088455200195
1,0,1,0,1,1,0,1,1,0,1,1,32.999908447265625,16.507625579833984
0,1,0,1,1,1,0,0,0,0,0,1,41.65652847290039,25.523534774780273
0,1,0,0,0,0,0,1,1,0,0,0,43.927467346191406,23.149913787841797
1,1,0,1,0,0,0,0,0,1,1,0,32.58548355102539,16.37073516845703
1,1,0,0,1,1,1,0,1,0,0,0,33.01714324951172,15.569989204406738
0,0,1,0,0,1,0,1,0,0,0,1,45.877647399902344,27.171283721923828
0,1,0,0,0,0,1,0,1,1,0,0,38.915626525878906,19.842601776123047
0,0,1,0,0,1,0,0,0,0,0,1,45.877647399902344,36.382591247558594
1,0,1,1,0,1,1,0,1,0,0,0,32.998443603515625,16.25520133972168
1,1,1,0,1,0,0,1,1,1,0,0,31.965404510498047,15.5986967086792
1,0,0,0,1,1,1,1,0,0,0,0,33.517784118652344,15.92017650604248
