/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0,output1
0,0,1,0,1,0,1,1,1,0,0,0,292.046142578125,59.17279815673828
0,0,0,0,1,1,0,0,0,1,0,0,780.7183227539062,50.96162796020508
1,0,1,1,0,1,1,1,1,1,0,1,2011.0679931640625,155.5161895751953
0,1,0,1,0,0,1,1,1,0,1,1,564.0745849609375,82.56300354003906
0,1,0,0,1,0,0,0,0,1,0,1,851.7386474609375,66.28865814208984
0,1,1,1,0,0,1,1,1,1,1,0,983.3761596679688,97.86292266845703
1,0,0,1,0,1,0,0,0,1,0,1,1988.248046875,143.04408264160156
0,1,0,0,1,0,1,0,1,0,1,0,570.8585205078125,73.63493347167969
1,1,0,1,1,0,0,0,0,0,1,1,1900.2584228515625,145.31480407714844
0,0,1,1,1,1,0,1,0,1,0,1,813.1278076171875,60.918922424316406
0,0,0,1,1,0,1,1,1,0,0,1,309.2609558105469,60.78436279296875
0,0,0,0,1,0,1,0,0,0,0,1,274.5691223144531,47.03230667114258
0,0,1,0,0,1,0,0,0,0,0,0,221.3994140625,0.0
1,1,1,1,1,0,1,1,1,1,0,0,2041.910888671875,163.51339721679688
1,0,1,0,1,1,0,1,0,1,0,1,1998.5377197265625,146.97341918945312
0,1,1,1,1,1,1,0,0,0,0,0,505.02264404296875,65.69120788574219
0,1,0,0,1,0,1,1,0,0,0,0,422.30517578125,74.99422454833984
1,1,0,0,0,0,1,0,0,1,1,1,1909.889892578125,151.2952117919922
1,1,0,1,0,0,1,1,0,0,1,0,1918.9547119140625,159.28231811523438
1,0,0,0,0,0,1,1,1,1,1,1,1890.4544677734375,148.642822265625
1,0,1,1,0,1,0,0,1,1,0,1,2011.0679931640625,144.53341674804688
1,0,0,1,1,1,0,1,0,1,0,1,1993.3818359375,146.97341918945312
0,1,1,0,1,0,0,0,1,1,0,1,896.2155151367188,69.11764526367188
0,0,0,1,1,1,0,0,1,1,0,0,800.3912353515625,54.840538024902344
1,0,0,1,0,0,0,1,1,1,0,0,1987.3043212890625,149.00311279296875
0,1,0,1,1,1,0,0,0,1,1,1,976.5296630859375,73.37474060058594
0,1,1,0,1,1,0,1,1,1,0,0,919.6506958007812,77.798583984375
1,1,0,0,0,1,0,1,1,1,0,0,1999.917236328125,155.0178680419922
0,1,0,0,1,1,1,1,1,0,1,1,586.8289794921875,82.56300354003906
0,1,0,1,0,1,1,0,0,0,0,0,395.2509765625,65.69120788574219
0,1,1,1,0,0,0,0,1,1,1,0,983.3761596679688,74.98805236816406
